question,image,choice1,choice2,choice3,choice4,bloque
¿Que quiere decir que la electricidad es un fenómeno natural?,,Que no ha sido inventada,Que se inventó hace muchísimo tiempo,Que no se puede generar artificialmente,Que es ecológica,electricidade
"La electricidad y el magnetismo son 2 ____________ del mismo fenómeno, el electromagnetismo",,Manifestaciones,Efectos,Fuerzas,Magnitudes,electricidade
"La palabra electricidad viene del griego elektron, que significa...",,ámbar,electricidad,imán,relámpago,electricidade
Como se llamaba el griego que le dio nombre a la electricidad?,,Tales,Pitágoras,Theodorakis,Aristóteles,electricidade
¿Cuándo se le puso nombre a la electricidad y comenzaron a estudiarse sus efectos?,,"Alrededor del año 600 AC, con la civilización griega","A finales del XVIII, con la revolución científica","A finales del siglo XIX, con la lámpara eléctrica","En el siglo XV, con la pila de Volta",electricidade
¿Cuándo decimos que comienza el uso comercial de la electricidad?,,"A finales del siglo XIX, con la lámpara eléctrica",En la antigua Grecia,"Con la Revolución Científica, a finales del siglo XVIII","A mediados del siglo XX, con la invención del transistor",electricidade
"La experimentación científica con la electricidad comenzó, aproximadamente...",,La finales del siglo  XVIII,La finales del siglo  XIX,A principios del siglo  XX,La finales del siglo  XVII,electricidad
"¿Qué hecho histórico coincidió en el tiempo, aproximadamente, con el comienzo de la experimentación científica con la electricidad?",,La Revolución Francesa,El Descubrimiento de América,La llegada del hombre a la Luna,La fundación del Imperio Romano,electricidad
¿Cuál no pertenece a la época de la revolución científica?,,Edison,Galvani,Volta,Faraday,electricidad
¿Con qué descubrimiento decimos que comenzó el uso de la electricidad de manera comercial,,La lámpara eléctrica,La pila de Volta,El ámbar  frotado contra algún tejido,El transistor,electricidad
La implantación y desarrollo comercial de la electricidad comenzaron con la lámpara eléctrica...,,A finales del siglo  XIX,A comienzos del siglo  XX,A mediados del siglo  XX,A comienzos del siglo  XIX,electricidad
La era de la información y la comunicación también se desarrolla sobre la electricidad y el componente fundamental sobre el que se asienta es...,,El transistor,La lámpara eléctrica,El  electroimán,El relé,electricidad
¿Cuándo está cargado un cuerpo?,,cuando tiene más cargas de un signo que de otro,cuando tiene igual número de cargas positivas y negativas,cuando tiene más cargas positivas que negativas,cuando tiene más cargas negativas que positivas,electricidad
¿Cuándo decimos que un cuerpo está cargado?,,"Cuando tiene más electrones que protones, o al revés",Cuando tiene todas las cargas,Cuando tiene más cargas de signo positivo que de signo negativo,Cuando tiene más cargas de signo negativo que de signo positivo,electricidad
¿Cuál es la unidad de carga eléctrica?,,El  Coulomb,El Vatio,El  Joule,El  Amperio,electricidad
¿A cuánto equivale un Coulomb?,,"6,2 x 10e18 electrones","6,2 x 10e12 electrones","6,2 x 10e6 electrones","6,2 x 10e3 electrones",electricidad
¿Qué partículas del átomo están cargadas?,,"los electrones, negativamente, y los protones, positivamente","los electrones, negativamente, y los neutrones, positivamente","los protones, positivamente, y los neutrones, negativamente","los electrones, positivamente, y los protones, negativamente",electricidad
¿Qué es una corriente eléctrica?,,Un flujo de electrones a través de un medio,Un flujo de protones a través de un medio,Un conjunto de electrones en movimiento,Un desplazamiento de cualquier tipo de partículas eléctricas,electricidad
¿Qué NO es una corriente eléctrica?,,Un conjunto de electrones almacenados en un punto determinado,Electrones moviéndose a través de un conductor,Electrones que van de un polo a otro de un circuito,Un flujo eléctrico a través de un medio,electricidad
¿Cuál es un material conductor,,El aluminio,El agua destilada,El aire,El plástico,electricidad
¿Cuál es un material aislante?,,El agua destilada,El cobre,El grafito,El agua salada,electricidad
¿Cuál de estos es un material aislante?,,El vidrio,El agua con sal,El aluminio,El grafito,electricidad
¿Cuál de estos es un material aislante?,,El plástico,El agua con sal,El aluminio,El grafito,electricidad
Un material aislante presentará...,,Una resistencia muy alta,Una resistencia muy baja,Una conductividad muy baja,Una corriente muy baja,electricidad
Un material conductor presentará...,,Una resistencia muy baja,Una resistencia muy alta,Una conductividad muy baja,Una corriente muy alta,electricidad
Un material conductor presentará..,,Una resistencia muy baja,Una resistencia muy alta,Una oposición alta al paso de la corriente,Una mala conductividad,electricidad
¿Qué fenómeno decimos que es otra expresión de la electricidad?,,El magnetismo,El calor,La luz,El movimiento,electricidad
¿Cuál de los siguientes dispositivos eléctricos NO produce ningún movimiento?,,Un LED,Un motor,Un altavoz,Un actuador lineal,electricidad
Un motor eléctrico por el que pasa una corriente produce...,,Movimiento y calor,Movimiento,Calor,Electromagnetismo,electricidad
Los efectos de la corriente eléctrica que nombramos son:,,"Luz, calor, movimiento y sonido","Electromagnetismo, luz, calor y movimiento"," Electroluminiscencia, calor, movimiento y sonido","Energía, movimiento, calor y sonido",electricidad
"Siempre que hay una corriente eléctrica, se produce...",,Calor,Resistencia eléctrica,Voltaje,Carga eléctrica,electricidad
¿Cuál no se corresponde con la corriente continua?,,solemos manejar grandes voltajes con ella,siempre tiene el mismo sentido,es la que proporcionan las baterías y pilas,podemos obtenerla de adaptadores de red,electricidad
¿Cuál NO se corresponde con la corriente alterna?,,Es la que nos dan las pilas y baterías,Cambia continuamente de sentido,"Es la que viene de la red, es decir, de los enchufes",Solemos manejar voltajes mayores que con la corriente continua,electricidad
¿Qué aparato funciona con Corriente Alterna?,,Lavadora,Ordenador,Reloj digital,Teléfono móvil,electricidad
¿Cuál de estos aparatos funciona con corriente continua?,,Un teléfono móvil,Un secador del pelo,Una impresora,Una lavadora,electricidad
